phrase,answer
Neigh Verse Sane Heifer,Never Say Never
Nod Itch Ants,Not A Chance
Noggin Hock Ooze Their,Knock! Knock! Who's There?
Nome Ore Mist Earn Ice Sky,No More Mister Nice Guy
Nope Odd Den Hose Force Your,Nobody Knows For Sure
Nose Moe Kings Own,No-Smoking Zone
Nossed Ring Sat Hatched,No Strings Attached
Offend Herb End Her,A Fender Bender
Oh Firm Hide Head Potty,Over My Bead Body
Out Ache Arrow View,I'll Take Care Of You
Ow Tough Sequins,Out Of Sequence
Owl Frayed Hose Hoss,Alfredo Sauce
Owl Yukon Heat Buff Hay,All You Can Eat Buffet
Own Late Aches Aim Men Hit,Only Takes A Minute
Pa's Dram Ease Hand Witch,Pastrami Sandwich
Pain Sills Harp Inner,Pencil Sharpener
Paper Own Heap Heats Aah,Pepperoni Pizza
Par Dummy,Pardon Me
Par Keens Pace,Parking Space
Pardon Her Sink Rhyme,Partners In Crime
Paw Rolfe Eye Owe Lay Shun,Parole Violation
Paws Iffy Go Shin,Pacific Ocean
Pay Per Row Says,Paper Roses
Pay Perk Lips,Paper Clips
Pea Pill Arf Honey,People Are Funny
Pea Sank White,Peace and Quiet
Peas Dash He Own Huts,Pistachio Nuts
Peek Nicked Ape Bull,Picnic Table
Peep Elm Hag Oz Scene,People Magazine
Pier Steers,Pierced ears
Pitchers Heat Bell Town,Put Your Seat Belt On
Plea Center Europe As Ward,Please Enter Your Password
Plea Sleeve Amass Itch,Please Leave A Message
Plea Sway Tube Ease Heated,Please Wait To Be Seated
Poe Lease Deep Heart Mint,Police Department
Poe Tate Terse Hal Ad,Potato Salad
Pole Eddy Clicker Wrecked,Politically Correct
Police Collar Dock Tour,Please Call A Doctor
Policed Hymm Delights,Please Dim The Lights
Pub Lick Ewe Till Itty,Public Utility
Pull Ease Clothes Theodore,Please Close The Door
Pull Ease Leaf Mia Lone,Please Leave Me Alone
Ran Dumb Max Suck Highness,Random Acts Of Kindness
Reese Urchin Deep Element,Research And Development
Rim Him Birth Owl Limo,Remember The Alamo
Rye Doubt These Dorm,Ride Out the Storm
Sand Tack Laws,Santa Claus
Say Fit Fray Ray Need Hey,Save It For A Rainy Day
Scene Curse Whim,Sink Or Swim
Sea Can't Higher Dove Fit,Sick And Tired Of It
Sea Yule Hater,See You Later
See Chores Elf,Seat Yourself
Seize Hearse Sail Ed,Ceasar Salad
Sell Your Laugh Hone,Cellular Phone
Sew Pop Hurrahs Tar,Soap Opera Star
Sex Feed Hunter,Six Feet Under
Shack Cough Alt Raids,Jack Of All Trades
Sham Paint Host,Champagne Toast
She Can Catch A Tory,Chicken Cacciatore
Shoe Gird Hone Huts,Sugar Donuts
Shook Hurl His Scum,Sugarless Gum
Sioux Punk Rack Hearse,Soup And Crackers
Sit Jerk Lock,Set Your Clock
Sock Herb Hauls,Soccer Balls
Some Ark Amp Ounce Yule Air,Summer Camp Counselor
Some Hero Limp Hicks,Summer Olympics
Soon Knees Hide Hup,Sunny Side Up
Space You'll Limp Picks,Special Olympics
Spar Cling What Her,Sparkling Water
State Who Their Height,Stay To The Right
Stay Cake Lame,Stake A Claim
Swede Boat Eight Dope Eye,Sweet Potato Pie
Swede Hans Hour Poke,Sweet And Sour Pork
Sym Bell Has Abe He Sea,Simple As A-B-C
Tack Seed Rye Fur,Taxi Driver
Teller Aber How Did,Tell Her About It
Tempo Might Hung,Tip Of My Tongue
Thesis Sawn Who Tomb He,This Is All New To Me
Thief Hearse Touch An You Weary,The First Of January
Thin Hey Muff Thick Aim,The Name Of The Game
Thirst Aim Awning,Thursday Morning
Thirst Hay Even Ink,Thursday Evening
Thud Era Belt Ooze,The Terrible Twos
Tie Dull Waif,Tidal Wave
Tie Man Dug Hen,Time And Again
Tin Purse Scent Desk Hound,Ten Percent Discount
Tock Toothy And,Talk To The Hand
Toe Gap Hearty,Toga Party
Toe Tall Gun Few Shun,Total Confusion
Toot Hence Two Ray Lacks,Too Tense To Relax
Tooth Hum Sup,Two Thumbs Up
Tour Tea Etch Hips,Tortilla Chips
Tree Chores Hail Fright,Treat Yourself Right
Tubby Horn Hot Tubby,To Be Or Not To Be
Uke Ant An Dell Tat Ruth,You Can't Handle The Truth
Up Arrow Tin Issues,A Pair Of Tennis Shoes
Up Hair Hush Ooze,A Pair Of Shoes
Up He Such Ease,A Piece Of Cheese
Up Hound Hug Round Round,A Pound Of Ground Round
Up Racked Hick Gulch Oak,A Practical Joke
Up Row Fashion Hulls Beaker,A Professional Speaker
Upper Fig Twirled,A Perfect World
Use Header Moth Fuel,You Said A Mouthful
Use Mel Could,You Smell Good
Use Yell Knots Deal,You Shall Not Steal
Wad Abe Hunch Off Nuns Hence,What A Bunch Of Nonsense
Wall Come Island Mash Ooze,Walk A Mile In My Shoes
Wands Up Pawn Eight I'm,Once Upon A Time
Was Estrange Lank Wedge,What A Strange Language
We Shy Worth Hare,Wish I Were There
Weaken Worker Hound Debt,We Can Work Around It
Weed Mile Hips,Read My Lips
Weed Owns Tan Ditch Ants,We Don't Stand A Chance
Weenie Toot Hawk,We Need To Talk
Weigh Cup Pin Theme Awning,Wake Up In The Morning
Weigh Cup Toothy Fax,Wake Up To The Facts
Went Hurl Hymn Pick Aims,Winter Olympic Games
Were That Sway Ten Cold,Worth Its Weight In Gold
Wheel Yun Air Ream He,Will You Marry Me?
When Hurt Ache Saw,Winner Takes All
Whole Imp Pig Aims,Olympic Games
Why Tail Huff Hunt,White elephant
Wide Hidden Chews Haze Hoe,Why Didn't You Say So?
Wide Hunch Uke Hall,Why Don't You Call?
Width Ought Eight Rays,Without A Trace
Wish Hood Oven Own,We Should Have Known
Witch Weighed Hid Ego,Which Way Did He Go?
Wok Aim Aisle Enema Chews,Walk A Mile In My Shoes
Won Hunt Dread Hollers,One Hundred Dollars
Wreck You Lure Hoard He Calf,Regular Or Decaf?
Wrist Hush Herd,Rest Assured
Yore Luke Ink Hood,You're Looking Good
You Knee Copper Two Needy,Unique Opportunity
You Says Dye Erected,Use As Directed
You Shore New Dull,Use Your Noodle
Yule Bizarre He,You'll Be Sorry
Yule Lees Mime Hind,You'll Ease My Mind
Zola Reek Lips,Solar Eclipse
