question,answer
On which side of the brain are the main language centres?,Left
"What is the longest English word that doesn't use the letters a, e, i, o, or u?",Rhythms
What is the first number to contain the letter A?,One thousand
What number is spelt with its letters in alphabetical order?,Forty
What is a garden path sentence?,Sentences that sound incorrect on a first read but are actually correct. e.g. Fat people eat accumulates. The old man the boat.
"What is the significance of the sentence ""Colourless green ideas sleep furiously""?","Created by notable linguist Noam Chomsky, the sentence is an example of grammatical/syntactical correctness, but semantically meaningless"
An isogram is a word where each letter appears only once (e.g. uncopywritable). A 2nd order isogram had each letter appears exactly twice (e.g. intestines). Name another 2nd order isogram.,"There are many possible answers. Here are a few: boob, deed, noon, sees, appeases, couscous, reappear, teammate"
"What is the only word that ends in ""mt""? (Hint: not available in American English spelling)",Dreamt
"What is the official language of the sky that all pilots, regardless of their country of origin, must communicate in?",English as of 2008
What book has been translated in the most languages?,"The Bible, which is fully translated in over 500 languages. Pinocchio is second with over 250 languages translated."
What is a pangram?,"A sentence that contains every letter. ""The quick brown fox jumps over the lazy dog"""
Mandarin Chinese is the most spoken native language. What is the second?,Spanish. English is third.
Which letter is the most common first letter among English words?,S
What are the 5 most common consonants in English?,"R, T, N, S, L"
What letter makes up 11% of the English language?,E
What is a lingua franca?,A language that is adopted as the common language between a group whose native languages are different.
"Based on its Greek roots. What should be the ""proper"" plural for ""octopus""?",Octopodes follows the expected Greek pluralization. Octopi would be using a Latin pluralization on a Greek word. Octopuses is widely used. All three are used and accepted as valid words.
