language,native,answer
Portugese,plim plim,Water dripping
Romanian,bâzzz,Bee buzzing
Romanian,miau,Cat meowing
Romanian,mu,Cow mooing
Romanian,mac mac,Duck calling
Romanian,pârț,Flatulence
Romanian,trop trop,Horse trotting
Romanian,hu-huuu,Owl hooting
Romanian,cucurigu,Rooster crowing
Russian,жжж (zhhh),Bee buzzing
Russian,чирик-чирик (chirik-chirik),Bird singing
Russian,му (mu),Cow mooing
Russian,скрип (skreep),Creaking
Russian,бульк бульк (bulk-bulk),Drinking
Russian,тук-тук (tuk-tuk),Heart beating
Russian,чмок (chmoc),Kiss
Russian,хаха (haha),Laughter
Russian,кукареку (ku-ka-re-ku),Rooster crowing
Russian,виу-виу (wiu-wiu),Sirens blaring
Russian,апчхи (apchkhi),Sneezing
Serbian,ћију-ћију (ćiju-ćiju),Bird singing
Serbian,му (mu),Cow mooing
Serbian,ав ав (av av),Dog barking
Serbian,квак (kvak),Duck calling
Serbian,трт (trt),Flatulence
Serbian,туп-туп (tup-tup),Heart beating
Serbian,хехе (hehe),Laughter
Serbian,грок грок (grok grok),Pig grunting
Serbian,кукурику (kukuriku),Rooster crowing
Spanish,zum,Bee buzzing
Spanish,miau,Cat meowing
Spanish,mu,Cow mooing
Spanish,catapum,Crash
Spanish,guau guau,Dog barking
Spanish,glu glu glu,Drinking
Spanish,prt,Flatulence
Spanish,tucutún tucutún,Heart beating
Spanish,tucutun tucutun,Horse trotting
Spanish,mua,Kiss
Spanish,jaja (haha),Laughter
Spanish,achu,Sneezing
Swedish,surr surr,Bee buzzing
Swedish,kvitter kvitter,Bird singing
Swedish,tut tut,Car horn honking
Swedish,vov vov,Dog barking
Swedish,glugg glugg,Drinking
Swedish,kvack kvack,Duck calling
Swedish,prutt,Flatulence
Swedish,"du-dunk, du-dunk",Heart beating
Swedish,smack,Kiss
Swedish,ho-hoo,Owl hooting
Swedish,nöff nöff,Pig grunting
Swedish,dripp dropp,Water dripping
Tagalog,zzz,Bee buzzing
Tagalog,twit twit,Bird singing
Tagalog,meyaw,Cat meowing
Tagalog,ungaa,Cow mooing
Tagalog,ka-boom,Crash
Tagalog,kwak kwak,Duck calling
Tagalog,tsup,Kiss
Tagalog,ngok ngok,Pig grunting
Tagalog,bahíng,Sneezing
Tagalog,tuk tuk tuk,Water dripping
Tamil,மியா (miya),Cat meowing
Thai,หึ่ง ๆ (hueng hueng),Bee buzzing
Thai,จิ๊บ ๆ (chip chip),Bird singing
Thai,ติ๊กต็อก (tiktok),Clock ticking
Thai,บ๊อก ๆ (bok bok),Dog barking
Thai,ก้าบ ๆ (kap kap),Duck calling
Thai,ปู้ด (puut),Flatulence
Thai,จุ๊บ (chup),Kiss
Thai,โฮก (hoak),Lion/tiger roaring
Thai,อู๊ด ๆ (uut uut),Pig grunting
Vietnamese,chíp chíp,Bird singing
Vietnamese,meo,Cat meowing
Vietnamese,ụm bò,Cow mooing
Vietnamese,gâu gâu,Dog barking
Vietnamese,cạp cạp,Duck calling
Vietnamese,nhong nhong,Horse trotting
Vietnamese,chụt,Kiss
Vietnamese,hô hô,Laughter
Vietnamese,hắt xì,Sneezing
